Instrution,Output
MicroBiology အရ ဒိန်ချဉ်ပြုလုပ်ခြင်းဖြစ်စဉ်အကြောင်းရှင်းပြပေးပါ။,ဒိန်ချဉ်ပြုလုပ်ခြင်းသည် မိုက်ခရိုဘိုင်အိုလော်ဂျီ၏ လက်တွေ့အသုံးချမှုတစ်ခုဖြစ်သည်။ ပထမဦးစွာ နွားနို့ကို pasteurize လုပ်ပြီး အပူချိန် 43°C သို့ အေးအောင်ထားရသည်။ ထို့နောက် Lactobacillus bulgaricus နှင့် Streptococcus thermophilus ကဲ့သို့သော lactic acid bacteria များကို ထည့်သွင်းပေးရသည်။ ဤ bacteria များသည် နို့ထဲရှိ lactose ကို lactic acid အဖြစ် ပြောင်းလဲပေးသည်။ ဤဖြစ်စဉ်ကို fermentation ဟုခေါ်ပြီး pH ကို လျော့ကျစေကာ နို့ပရိုတိန်းများကို ချွဲကပ်စေသည်။ ရလဒ်အနေဖြင့် စားသုံးရန်သင့်တော်သော probiotic ဒိန်ချဉ်ကို ရရှိစေသည်။ ဤလုပ်ငန်းစဉ်တစ်လျှောက် အပူချိန်နှင့် သန့်ရှင်းမှုကို ထိန်းသိမ်းခြင်းသည် မလိုလားအပ်သော microorganism များ မဝင်ရောက်စေရန် အရေးကြီးသည်။

Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ အဓိက ကွာခြားချက်ကို ရှင်းပြပါ,Gram-positive ဘက်တီးရီးယားများတွင် ထူထဲသော peptidoglycan နံရံရှိပြီး၊ Gram-negative ဘက်တီးရီးယားများတွင် ပါးလွှာသော peptidoglycan နံရံနှင့် outer membrane ရှိသည်။ ဤကွာခြားချက်ကြောင့် Gram staining ပြုလုပ်သောအခါ Gram-positive က အပြာရောင်နှင့် Gram-negative က အနီရောင် ပေါ်လာသည်။
Gram-positive ဘက်တီးရီးယား၏ ဥပမာများကို ပေးပါ,Gram-positive ဘက်တီးရီးယားများ၏ ဥပမာများမှာ - Staphylococcus aureus၊ Streptococcus pneumoniae၊ Bacillus subtilis၊ Clostridium botulinum နှင့် Lactobacillus species တို့ ဖြစ်သည်။
Gram-negative ဘက်တီးရီးယား၏ ဥပမာများကို ပေးပါ,Gram-negative ဘက်တီးရီးယားများ၏ ဥပမာများမှာ - Escherichia coli၊ Salmonella typhi၊ Pseudomonas aeruginosa၊ Helicobacter pylori နှင့် Neisseria gonorrhoeae တို့ ဖြစ်သည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ cell wall ဖွဲ့စည်းပုံကို နှိုင်းယှဉ်ပါ,Gram-positive ဘက်တီးရီးယားများတွင် ထူထဲသော peptidoglycan နံရံ (20-80 nm) ရှိပြီး၊ teichoic acids များလည်း ပါဝင်သည်။ Gram-negative ဘက်တီးရီးယားများတွင် ပါးလွှာသော peptidoglycan နံရံ (1-3 nm) နှင့် outer membrane ရှိပြီး၊ ထို outer membrane တွင် lipopolysaccharides (LPS) များ ပါဝင်သည်။
Gram staining လုပ်ငန်းစဉ်ကို အကျဉ်းချုပ် ဖော်ပြပါ,Gram staining လုပ်ငန်းစဉ်တွင် - ၁) Crystal violet ဆေးဆိုးခြင်း၊ ၂) Iodine ဖြင့် mordant ပြုလုပ်ခြင်း၊ ၃) Alcohol ဖြင့် decolorize လုပ်ခြင်း၊ ၄) Safranin counterstain ပြုလုပ်ခြင်း တို့ ပါဝင်သည်။ Gram-positive များသည် crystal violet ကို ထိန်းသိမ်းထားပြီး၊ Gram-negative များသည် safranin ကို စုပ်ယူသည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ antibiotic ခံနိုင်ရည်ကို နှိုင်းယှဉ်ပါ,Gram-negative ဘက်တီးရီးယားများသည် outer membrane ရှိသောကြောင့် antibiotic ခံနိုင်ရည် ပိုရှိသည်။ ဤ membrane သည် အချို့သော antibiotics များ ဝင်ရောက်ခြင်းကို တားဆီးပေးသည်။ Gram-positive ဘက်တီးရီးယားများမှာ antibiotic အများစုအတွက် ပိုမို ထိခိုက်လွယ်သည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ lipopolysaccharide (LPS) ပါဝင်မှုကို နှိုင်းယှဉ်ပါ,Gram-negative ဘက်တီးရီးယားများတွင် outer membrane ၌ lipopolysaccharide (LPS) ပါဝင်ပြီး၊ ၎င်းသည် endotoxin အဖြစ် ဆောင်ရွက်သည်။ Gram-positive ဘက်တီးရီးယားများတွင် LPS မပါဝင်ပါ။ သို့သော် teichoic acids နှင့် lipoteichoic acids များ ပါဝင်သည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ periplasmic space ကို နှိုင်းယှဉ်ပါ,Gram-negative ဘက်တီးရီးယားများတွင် ကျယ်ပြန့်သော periplasmic space ရှိပြီး၊ ၎င်းသည် inner membrane နှင့် outer membrane ကြားတွင် တည်ရှိသည်။ Gram-positive ဘက်တီးရီးယားများတွင် periplasmic space မရှိသလောက် နည်းပါးသည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ flagella ဖွဲ့စည်းပုံကို နှိုင်းယှဉ်ပါ,Gram-positive နှင့် Gram-negative ဘက်တီးရီးယား နှစ်မျိုးစလုံးတွင် flagella ရှိနိုင်သည်။ သို့သော် Gram-negative ဘက်တီးရီးယားများ၏ flagella သည် ပိုမို ရှုပ်ထွေးပြီး၊ ၎င်းသည် outer membrane မှ ထွက်လာသည်။ Gram-positive များ၏ flagella မှာ ပိုမို ရိုးရှင်းသည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ ပဋိဇာတ် (antigen) ဖွဲ့စည်းပုံကို နှိုင်းယှဉ်ပါ,Gram-negative ဘက်တီးရီးယားများတွင် O-antigen (LPS ၏ အစိတ်အပိုင်း)၊ H-antigen (flagellar protein) နှင့် K-antigen (capsular) တို့ ရှိသည်။ Gram-positive ဘက်တီးရီးယားများတွင် teichoic acids၊ peptidoglycan နှင့် surface proteins တို့က အဓိက ပဋိဇာတ်များ အဖြစ် ဆောင်ရွက်သည်။
Gram-positive နှင့် Gram-negative ဘက်တီးရီးယားများ၏ lysozyme ခံနိုင်ရည်ကို နှိုင်းယှဉ်ပါ,Gram-positive ဘက်တီးရီးယားများသည် lysozyme ကို ပိုမို ထိခိုက်လွယ်သည်။ အကြောင်းမှာ ၎င်းတို့၏ peptidoglycan နံရံသည် ပြင်ပသို့ ထုတ်ဖော်ထားသောကြितင့် ဖြစ်သည်။ Gram-negative ဘက်တီးရီးယားများ၏ outer membrane က lysozyme ဝင်ရောက်ခြင်းကို တားဆီးပေးသောကြောင့် ပိုမို ခံနိုင်ရည်ရှိသည်။
